Index,Ovr,Gen,Div,Name,#,AG,Country,Swim,Bike,Run,Total,Competition,Year,Swim_sec,Bike_sec,Run_sec,Total_sec
142,142,138,34,Luis Marcos Gallardo,430,M35-39,MEX,00:49:54,05:05:53,03:42:01,09:50:13,Overall Results,Ironman California 2023,2994.0,18353.0,13321,35413
143,143,139,3,Peter Dodd,1000,M55-59,CAN,00:45:00,04:56:32,03:53:26,09:50:18,Overall Results,Ironman California 2023,2700.0,17792.0,14006,35418
144,144,140,26,Matt Hyland,182,M30-34,USA,00:47:26,05:06:41,03:41:35,09:50:24,Overall Results,Ironman California 2023,2846.0,18401.0,13295,35424
145,145,141,35,Josh Scott,2127,M35-39,USA,00:45:32,05:16:57,03:37:30,09:50:29,Overall Results,Ironman California 2023,2732.0,19017.0,13050,35429
146,146,142,15,Greg Patterson,275,M50-54,USA,00:40:47,05:00:29,03:56:40,09:50:33,Overall Results,Ironman California 2023,2447.0,18029.0,14200,35433
147,147,143,4,Stephan Bole,150,M55-59,FRA,00:43:16,05:10:44,03:46:02,09:51:39,Overall Results,Ironman California 2023,2596.0,18644.0,13562,35499
148,148,144,17,Scott Gingles,1719,M45-49,CAN,00:48:03,05:18:11,03:31:22,09:52:21,Overall Results,Ironman California 2023,2883.0,19091.0,12682,35541
149,149,145,18,Emmanuel Batail,437,M45-49,FRA,00:45:20,05:12:24,03:42:25,09:52:21,Overall Results,Ironman California 2023,2720.0,18744.0,13345,35541
150,150,146,14,Tommy Larsen,1515,M25-29,USA,00:39:47,05:19:45,03:39:17,09:52:56,Overall Results,Ironman California 2023,2387.0,19185.0,13157,35576
151,151,147,5,Torres Alvaro,358,M18-24,MEX,00:46:09,05:34:44,03:18:41,09:53:08,Overall Results,Ironman California 2023,2769.0,20084.0,11921,35588
152,152,148,19,Brian Freeman,267,M45-49,USA,00:44:16,04:59:14,03:56:28,09:54:04,Overall Results,Ironman California 2023,2656.0,17954.0,14188,35644
153,153,149,36,Chris Napoleon Smith,1062,M35-39,USA,00:40:27,05:22:33,03:35:48,09:54:08,Overall Results,Ironman California 2023,2427.0,19353.0,12948,35648
154,154,150,37,Bryce Miller,1211,M35-39,USA,00:44:01,05:13:01,03:44:19,09:54:47,Overall Results,Ironman California 2023,2641.0,18781.0,13459,35687
155,155,151,31,Si Mohamed Aziz Sbai,1543,M40-44,MAR,00:44:48,05:17:18,03:42:07,09:54:48,Overall Results,Ironman California 2023,2688.0,19038.0,13327,35688
156,156,152,15,Kevin Krein,2140,M25-29,USA,00:41:54,05:19:12,03:38:46,09:55:27,Overall Results,Ironman California 2023,2514.0,19152.0,13126,35727
157,157,153,38,Alex Sharp,196,M35-39,USA,00:41:05,05:17:59,03:45:11,09:55:33,Overall Results,Ironman California 2023,2465.0,19079.0,13511,35733
158,158,154,20,Chad Lund,216,M45-49,USA,00:42:38,05:16:39,03:43:13,09:55:33,Overall Results,Ironman California 2023,2558.0,18999.0,13393,35733
159,159,155,32,Derek Koch,204,M40-44,USA,00:39:57,05:03:32,04:00:08,09:55:34,Overall Results,Ironman California 2023,2397.0,18212.0,14408,35734
160,160,156,27,Bo Stewart,1666,M30-34,USA,00:44:05,05:22:27,03:34:50,09:55:37,Overall Results,Ironman California 2023,2645.0,19347.0,12890,35737
161,161,157,21,George Eyles,1926,M45-49,GBR,00:46:38,04:46:45,04:09:43,09:55:44,Overall Results,Ironman California 2023,2798.0,17205.0,14983,35744
162,162,158,16,Arturo Diaz,1994,M50-54,MEX,00:47:01,05:07:50,03:48:25,09:55:45,Overall Results,Ironman California 2023,2821.0,18470.0,13705,35745
163,163,5,1,Hope Hoffman,360,F25-29,USA,00:41:54,05:16:57,03:47:02,09:56:07,Overall Results,Ironman California 2023,2514.0,19017.0,13622,35767
164,164,159,22,Jeff Lam,304,M45-49,USA,00:48:02,05:12:28,03:43:14,09:56:13,Overall Results,Ironman California 2023,2882.0,18748.0,13394,35773
